country;adjektiv;nationalityM;nationalityF
Afghanistan;afghanisch;Afghane;Afghanin
Ägypten;ägyptisch;Ägypter;Ägypterin
Albanien;albanisch;Albaner;Albanerin
Algerien;algerisch;Algerier;Algerierin
Andorra;andorranisch;Andorraner;Andorranerin
Angola;angolanisch;Angolaner;Angolanerin
Antigua und Barbuda;antiguanisch;Antiguaner;Antiguanerin
Äquatorialguinea;äquatorial;Äquatorialguineer;Äquatorialguineerin
Argentinien;argentinisch;Argentinier;Argentinierin
Armenien;armenisch;Armenier;Armenierin
Aserbaidschan;aserbaidschanisch;Aserbaidschaner;Aserbaidschanerin
Äthiopien;äthiopisch;Äthiopier;Äthiopierin
Australien;australisch;Australier;Australierin
Bahamas;bahamaisch;Bahamaer;Bahamaerin
Bahrain;bahrainisch;Bahrainer;Bahrainerin
Bangladesch;bangladeschisch;Bangladescher;Bangladescherin
Barbados;barbadisch;Barbadier;Barbadierin
Belarus;belarussisch;Belarusse;Belarussin
Belgien;belgisch;Belgier;Belgierin
Belize;belizisch;Belizer;Belizerin
Benin;beninisch;Beniner;Beninerin
Bhutan;bhutanisch;Bhutaner;Bhutanerin
Bolivien, Plurinationaler Staat;bolivianisch;Bolivianer;Bolivianerin
Bosnien und Herzegowina;bosnisch;---;---
Botsuana;botsuanisch;Botsuaner;Botsuanerin
Brasilien;brasilianisch;Brasilianer;Brasilianerin
Brunei Darussalam;bruneiisch;Bruneier;Bruneierin
Bulgarien;bulgarisch;Bulgare;Bulgarin
Burkina Faso;burkinisch;Burkiner;Burkinerin
Burundi;burundisch;Burundier;Burundierin
Cabo Verde;---;---;---
Chile;chilenisch;Chilene;Chilenin
China;chinesisch;Chinese;Chinesin
Cookinseln;---;---;---
Costa Rica;costa;Costa;Costa
'Côte d''Ivoire';ivorisch;Ivorer;Ivorerin
Dänemark;dänisch;Däne;Dänin
Deutschland;deutsch;Deutscher;Deutsche
Dominica;dominicanisch;Dominicaner;Dominicanerin
Dominikanische Republik;dominikanisch;Dominikaner;Dominikanerin
Dschibuti;dschibutisch;Dschibutier;Dschibutierin
Ecuador;ecuadorianisch;Ecuadorianer;Ecuadorianerin
El Salvador;salvadorianisch;Salvadorianer;Salvadorianerin
Eritrea;eritreisch;Eritreer;Eritreerin
Estland;estnisch;Este;Estin
Eswatini;---;---;---
Fidschi;fidschianisch;Fidschianer;Fidschianerin
Finnland;finnisch;Finne;Finnin
Frankreich;französisch;Franzose;Französin
Gabun;gabunisch;Gabuner;Gabunerin
Gambia;gambisch;Gambier;Gambierin
Georgien;georgisch;Georgier;Georgierin
Ghana;ghanaisch;Ghanaer;Ghanaerin
Grenada;grenadisch;Grenader;Grenaderin
Griechenland;griechisch;Grieche;Griechin
Guatemala;guatemaltekisch;Guatemalteke;Guatemaltekin
Guinea;guineisch;Guineer;Guineerin
Guinea-Bissau;guinea;Guinea;Guinea
Guyana;guyanisch;Guyaner;Guyanerin
Haiti;haitianisch;Haitianer;Haitianerin
Heiliger Stuhl;---;---;---
Honduras;honduranisch;Honduraner;Honduranerin
Indien;indisch;Inder;Inderin
Indonesien;indonesisch;Indonesier;Indonesierin
Irak;irakisch;Iraker;Irakerin
Iran, Islamische Republik;iranisch;Iraner;Iranerin
Irland;irisch;Ire;Irin
Island;isländisch;Isländer;Isländerin
Israel;israelisch;Israeli;Israeli
Italien;italienisch;Italiener;Italienerin
Jamaika;jamaikanisch;Jamaikaner;Jamaikanerin
Japan;japanisch;Japaner;Japanerin
Jemen;jemenitisch;Jemenit;Jemenitin
Jordanien;jordanisch;Jordanier;Jordanierin
Kambodscha;kambodschanisch;Kambodschaner;Kambodschanerin
Kamerun;kamerunisch;Kameruner;Kamerunerin
Kanada;kanadisch;Kanadier;Kanadierin
Kasachstan;kasachisch;Kasache;Kasachin
Katar;katarisch;Katarer;Katarerin
Kenia;kenianisch;Kenianer;Kenianerin
Kirgisistan;kirgisisch;Kirgise;Kirgisin
Kiribati;kiribatisch;Kiribatier;Kiribatierin
Kolumbien;kolumbianisch;Kolumbianer;Kolumbianerin
Komoren;komorisch;Komorer;Komorerin
Kongo;kongolesisch;Kongolese;Kongolesin
Kongo, Demokratische Republik;kongolesisch;Kongolese;Kongolesin
Korea, Demokratische Volksrepublik;koreanisch;Koreaner;Koreanerin
Korea, Republik;koreanisch;Koreaner;Koreanerin
Kosovo;kosovarisch;Kosovare;Kosovarin
Kroatien;kroatisch;Kroate;Kroatin
Kuba;kubanisch;Kubaner;Kubanerin
Kuwait;kuwaitisch;Kuwaiter;Kuwaiterin
Laos, Demokratische Volksrepublik ;laotisch;Laote;Laotin
Lesotho;lesothisch;Lesother;Lesotherin
Lettland;lettisch;Lette;Lettin
Libanon;libanesisch;Libanese;Libanesin
Liberia;liberianisch;Liberianer;Liberianerin
Libyen;libysch;Libyer;Libyerin
Liechtenstein;liechtensteinisch;Liechtensteiner;Liechtensteinerin
Litauen;litauisch;Litauer;Litauerin
Luxemburg;luxemburgisch;Luxemburger;Luxemburgerin
Madagaskar;madagassisch;Madagasse;Madagassin
Malawi;malawisch;Malawier;Malawierin
Malaysia;malaysisch;Malaysier;Malaysierin
Malediven;maledivisch;Malediver;Malediverin
Mali;malisch;Malier;Malierin
Malta;maltesisch;Malteser;Malteserin
Marokko;marokkanisch;Marokkaner;Marokkanerin
Marshallinseln;marshallisch;Marshaller;Marshallerin
Mauretanien;mauretanisch;Mauretanier;Mauretanierin
Mauritius;mauritisch;Mauritier;Mauritierin
Mexiko;mexikanisch;Mexikaner;Mexikanerin
Mikronesien, Föderierte Staaten von;mikronesisch;Mikronesier;Mikronesierin
Moldau, Republik;moldauisch;Moldauer;Moldauerin
Monaco;monegassisch;Monegasse;Monegassin
Mongolei;mongolisch;Mongole;Mongolin
Montenegro;montenegrinisch;Montenegriner;Montenegrinerin
Mosambik;mosambikanisch;Mosambikaner;Mosambikanerin
Myanmar;myanmarisch;Myanmare;Myanmarin
Namibia;namibisch;Namibier;Namibierin
Nauru;nauruisch;Nauruer;Nauruerin
Nepal;nepalesisch;Nepalese;Nepalesin
Neuseeland;neuseeländisch;Neuseeländer;Neuseeländerin
Nicaragua;nicaraguanisch;Nicaraguaner;Nicaraguanerin
Niederlande;niederländisch;Niederländer;Niederländerin
Niger;nigrisch;Nigrer;Nigrerin
Nigeria;nigerianisch;Nigerianer;Nigerianerin
Niue;niueanisch;Niueaner;Niueanerin
Nordmazedonien;---;---;---
Norwegen;norwegisch;Norweger;Norwegerin
Oman;omanisch;Omaner;Omanerin
Österreich;österreichisch;Österreicher;Österreicherin
Pakistan;pakistanisch;Pakistaner;Pakistanerin
Palau;palauisch;Palauer;Palauerin
Panama;panamaisch;Panamaer;Panamaerin
Papua-Neuguinea;papua-neuguineisch;Papua-Neuguineer;Papua-Neuguineerin
Paraguay;paraguayisch;Paraguayer;Paraguayerin
Peru;peruanisch;Peruaner;Peruanerin
Philippinen;philippinisch;Philippiner;Philippinerin
Polen;polnisch;Pole;Polin
Portugal;portugiesisch;Portugiese;Portugiesin
Ruanda;ruandisch;Ruander;Ruanderin
Rumänien;rumänisch;Rumäne;Rumänin
Russische Föderation;russisch;---;---
Salomonen;salomonisch;Salomoner;Salomonerin
Sambia;sambisch;Sambier;Sambierin
Samoa;samoanisch;Samoaner;Samoanerin
San Marino;san;San;San
São Tomé und Príncipe;são;São;São
Saudi-Arabien;saudi;Saudi;Saudi
Schweden;schwedisch;Schwede;Schwedin
Schweiz;schweizerisch;Schweizer;Schweizerin
Senegal;senegalesisch;Senegalese;Senegalesin
Serbien ;serbisch;Serbe;Serbin
Seychellen;seychellisch;Seycheller;Seychellerin
Sierra Leone;sierra;Sierra;Sierra
Simbabwe;simbabwisch;Simbabwer;Simbabwerin
Singapur;singapurisch;Singapurer;Singapurerin
Slowakei;slowakisch;Slowake;Slowakin
Slowenien;slowenisch;Slowene;Slowenin
Somalia;somalisch;Somalier;Somalierin
Spanien;spanisch;Spanier;Spanierin
Sri Lanka;sri;Sri;Sri
St. Kitts und Nevis;---;---;---
St. Lucia;lucianisch;Lucianer;Lucianerin
St. Vincent und die Grenadinen;vincentisch;Vincenter;Vincenterin
Südafrika;südafrikanisch;Südafrikaner;Südafrikanerin
Sudan;sudanesisch;Sudanese;Sudanesin
Südsudan;südsudanesisch;Südsudanese;Südsudanesin
Suriname;surinamisch;Surinamer;Surinamerin
Syrien, Arabische Republik;syrisch;Syrer;Syrerin
Tadschikistan;tadschikisch;Tadschike;Tadschikin
Tansania, Vereinigte Republik;tansanisch;Tansanier;Tansanierin
Thailand;thailändisch;Thailänder;Thailänderin
Timor-Leste;---;---;---
Togo;togoisch;Togoer;Togoerin
Tonga;tongaisch;Tongaer;Tongaerin
Trinidad und Tobago;---;---;---
Tschad;tschadisch;Tschader;Tschaderin
Tschechien;tschechisch;Tscheche;Tschechin
Tunesien;tunesisch;Tunesier;Tunesierin
Türkei;türkisch;Türke;Türkin
Turkmenistan;turkmenisch;Turkmene;Turkmenin
Tuvalu;tuvaluisch;Tuvaluer;Tuvaluerin
Uganda;ugandisch;Ugander;Uganderin
Ukraine;ukrainisch;Ukrainer;Ukrainerin
Ungarn;ungarisch;Ungar;Ungarin
Uruguay;uruguayisch;Uruguayer;Uruguayerin
Usbekistan;usbekisch;Usbeke;Usbekin
Vanuatu;vanuatuisch;Vanuatuer;Vanuatuerin
Vatikanstadt;vatikanisch;---;---
Venezuela, Bolivarische Republik;venezolanisch;Venezolaner;Venezolanerin
Vereinigte Arabische Emirate;---;---;---
Vereinigte Staaten;der Vereinigten Staaten (von Amerika) /amerikanisch;der Vereinigten Staaten (von Amerika) / Amerikaner;Amerikanerin
Vereinigtes Königreich;britisch;Brite;Britin
Vietnam;vietnamesisch;Vietnamese;Vietnamesin
Weißrussland;weißrussisch;Weißrusse;Weißrussin
Zentralafrikanische Republik;zentralafrikanisch;Zentralafrikaner;Zentralafrikanerin
Zypern;zyprisch;Zyprer;Zyprerin
